alicelloydky|Alice Lloyd College
aquinasmi|Aquinas College - Michigan
arizonachristianaz|Arizona Christian University
arkansasbaptist|Arkansas Baptist College
avemariafl|Ave Maria University
avilamo|Avila University
bakerks|Baker University
bellevuene|Bellevue University
benedictineks|Benedictine College
benedictinemesaaz|Benedictine University - Mesa
bethanyks|Bethany College - Kansas
bethelks|Bethel College - Kansas
bethelin|Bethel University - Indiana
betheltn|Bethel University - Tennessee
bluemountainchristianms|Blue Mountain College
bluefieldva|Bluefield University
bresciaky|Brescia University
brewtonparkerga|Brewton-Parker College
briarcliffia|Briar Cliff University
bryantn|Bryan College - Tennessee
bushnellor|Bushnell University
