hanniballagrangemo|Hannibal-LaGrange (MO)
harrisstowemo|Harris-Stowe (MO)
hastings|Hastings
hopeinternational|Hope International
huntingtonin|Huntington (IN)
hustontillotson|Huston-Tillotson
indianatech|Indiana Tech
indianaeast|Indiana East
iukokomo|IU Kokomo
indiananorthwest|Indiana Northwest
indianasouthbendin|Indiana South Bend (IN)
indianasoutheast|Indiana Southeast
indianawesleyanin|Indiana Wesleyan
jarvischristian|Jarvis Christian
johnbrown|John Brown
johnsontn|Johnson (TN)
judsonil|Judson (IL)
kansaswesleyan|Kansas Wesleyan
keiser|Keiser (Fla.)
kentuckychristian|Kentucky Christian
