reinhardtga|Reinhardt (Ga.)
rochesterchristianmich|Rochester Christian (Mich.)
rockymountainmt|Rocky Mountain (MT)
saintxavieril|Saint Xavier (IL)
shawneestate|Shawnee State
sienaheights|Siena Heights
simpsonca|Simpson (CA)
southeastern|Southeastern
southernoregon|Southern Oregon
southernuniversityatneworleansla|Southern University at New Orleans (LA)
southwesternchristian|Southwestern Christian
southwestern|Southwestern
springarbormi|Spring Arbor (Mich.)
stambroseia|St. Ambrose (IA)
stthomas|St. Thomas (Fla.)
sterling|Sterling
stillman|Stillman
