
[NCAA D3 Football Rosters] 239 schools
  [  1/239] Adrian College                                168 players
  [  2/239] Albion College                                113 players
  [  3/239] Albright College                               81 players
  [  4/239] Alfred State College                           75 players
  [  5/239] Alfred University                             111 players
  [  6/239] Allegheny College                              61 players
  [  7/239] Alma College                                  159 players
  [  8/239] Alvernia University                            87 players
  [ 12/239] Augsburg University                            66 players
  [ 13/239] Augustana College (Illinois)                  121 players
  [ 14/239] Aurora University                             124 players
  [ 16/239] Averett University                             42 players
  [ 18/239] Bates College                                  88 players
  [ 19/239] Belhaven University                           105 players
  [ 21/239] Benedictine University (Illinois)             133 players
  [ 22/239] Berry College                                 126 players
  [ 23/239] Bethany College (West Virginia)               101 players
  [ 24/239] Bethel University (Minnesota)                 119 players
  [ 27/239] Brevard College                               110 players
  [ 28/239] Bridgewater College (Virginia)                121 players
  [ 30/239] State University of New York at Brockport     107 players
  [ 31/239] Buena Vista University                         86 players
  [ 32/239] Buffalo State, State University of New York   109 players
  [ 33/239] California Lutheran University                126 players
  [ 38/239] Carroll University (Wisconsin)                119 players
  [ 39/239] Carthage College                              102 players
  [ 40/239] Case Western Reserve University               108 players
  [ 41/239] Catholic University                            74 players
  [ 44/239] Centre College                                126 players
  [ 45/239] Chapman University                             97 players
  [ 47/239] Christopher Newport University                139 players
  [ 48/239] Claremont McKenna-Harvey Mudd-Scripps Colleges  82 players
  [ 49/239] Coe College                                   101 players
  [ 52/239] Concordia University Chicago                   88 players
  [ 54/239] Cornell College                                78 players
  [ 60/239] Denison University                            104 players
  [ 62/239] Dickinson College                              84 players
  [ 64/239] East Texas Baptist University                  76 players
  [ 65/239] Eastern University                            147 players
  [ 66/239] Elmhurst University                            67 players
  [ 69/239] Fairleigh Dickinson University, Florham       114 players
  [ 72/239] Franklin & Marshall College                   107 players
  [ 74/239] Gallaudet University                           59 players
  [ 75/239] Geneva College                                 88 players
  [ 77/239] Gettysburg College                             92 players
  [ 78/239] Greensboro College                            112 players
  [ 80/239] Grinnell College                               61 players
